Astral Projection,Necromancy,"Cleric, Warlock, Wizard",1 hour,10 feet,"V, S, M (C*)",Until dispelled
Foresight,Divination,"Bard, Druid, Warlock, Wizard",1 minute,Touch,"V, S, M",8 hours
Gate,Conjuration,"Cleric, Sorcerer, Warlock, Wizard",Action,60 feet,"V, S, M(C)","C, up to 1 minute"
Imprisonment,Abjuration,"Warlock, Wizard",1 minute,30 feet,"V, S, M(C)",Until dispelled
Mass Heal,Abjuration,Cleric,Action,60 feet,"V, S",Instantaneous
Meteor Swarm,Evocation,"Sorcerer, Wizard",Action,1 mile,"V, S",Instantaneous
Power Word Heal,Enchantment,"Bard, Cleric",Action,60 feet,V,Instantaneous
Power Word Kill,Enchantment,"Bard, Sorcerer, Warlock, Wizard",Action,60 feet,V,Instantaneous
Prismatic Wall,Abjuration,"Bard, Wizard",Action,60 feet,"V, S",10 minutes
Shapechange,Transmutation,"Druid, Wizard",Action,Self,"V, S, M(C)","C, up to 1 hour"
Storm of Vengeance,Conjuration,Druid,Action,1 mile,"V, S","C, up to 1 minute"
Time Stop,Transmutation,"Sorcerer, Wizard",Action,Self,V,Instantaneous
True Polymorph,Transmutation,"Bard, Warlock, Wizard",Action,30 feet,"V, S, M","C, up to 1 hour"
True Resurrection,Necromancy,"Cleric, Druid",1 hour,Touch,"V, S, M(C*)",Instantaneous
Weird,Illusion,"Warlock, Wizard",Action,120 feet,"V, S","C, up to 1 minute"
Wish,Conjuration,"Sorcerer, Wizard",Action,Self,V,Instantaneous
